Years,,Carbon Emissions
1750,9350528,0
1751,9350528,-3664
1752,9354192,0
1753,9354192,-3664
1754,9357856,-3664
1755,9361520,-644864
1756,10006384,-3664
1757,10010048,-3664
1758,10013712,-3664
1759,10017376,0
1760,10017376,-956304
1761,10973680,-3664
1762,10977344,-3664
1763,10981008,-3664
1764,10984672,-3664
1765,10988336,-1271408
1766,12259744,-3664
1767,12263408,-3664
1768,12267072,-3664
1769,12270736,-3664
1770,12274400,-1337360
1771,13611760,-3664
1772,13615424,-3664
1773,13619088,-3664
1774,13622752,-3664
1775,13626416,-1410640
1776,15037056,-3664
1777,15040720,-3664
1778,15044384,-3664
1779,15048048,-7328
1780,15055376,-1788032
1781,16843408,-3664
1782,16847072,-7328
1783,16854400,-3664
1784,16858064,-10992
1785,16869056,-2282672
1786,19151728,-7328
1787,19159056,-3664
1788,19162720,-7328
1789,19170048,-7328
1790,19177376,-2242368
1791,21419744,-476320
1792,21896064,-18320
1793,21914384,32976
1794,21881408,-10992
1795,21892400,-1058896
1796,22951296,-1143168
1797,24094464,-1000272
1798,25094736,-1333696
1799,26428432,-1663456
1800,28091888,131904
1801,27959984,-8822912
1802,36782896,5294480
1803,31488416,-2821280
1804,34309696,890350
1805,33419346,-1626814
1806,35046160,-1828336
1807,36874496,1810016
1808,35064480,-25650
1809,35090130,-2290000
1810,37380130,-2202060
1811,39582190,-1425300
1812,41007490,-212510
1813,41220000,-908670
1814,42128670,-1359346
1815,43488016,-4176960
1816,47664976,-1766048
1817,49431024,-212512
1818,49643536,-304114
1819,49947650,-740126
1820,50687776,-747454
1821,51435230,-2029860
1822,53465090,-3085086
1823,56550176,-1974894
1824,58525070,-2231380
1825,60756450,-663180
1826,61419630,-4495730
1827,65915360,-721810
1828,66637170,241822
1829,66395348,-22727792
1830,89123140,4594660
1831,84528480,-582580
1832,85111060,-1696430
1833,86807490,-1678110
1834,88485600,-1960240
1835,90445840,-14329900
1836,104775740,84270
1837,104691470,-3352560
1838,108044030,-3568740
1839,111612770,-7317010
1840,118929780,-3689640
1841,122619420,-6884650
1842,129504070,-3348914
1843,132852984,-8570086
1844,141423070,-13787630
1845,155210700,-2583120
1846,157793820,-14608370
1847,172402190,-1414310
1848,173816500,-9694940
1849,183511440,-13384590
1850,196896030,-1908950
1851,198804980,-8745960
1852,207550940,-9658310
1853,217209250,-37929730
1854,255138980,-5027000
1855,260165980,-17125540
1856,277291520,-2597760
1857,279889280,-4282020
1858,284171300,-17140350
1859,301311650,-29329630
1860,330641280,-17093250
1861,347734530,-6322140
1862,354056670,-23802400
1863,377859070,-29231230
1864,407090300,-25216680
1865,432306980,-13662720
1866,445969700,-31845200
1867,477814900,-12937600
1868,490752500,-30378250
1869,521130750,-11405990
1870,532536740,-33606260
1871,566143000,-60228800
1872,626371800,-39047300
1873,665419100,42421850
1874,622997250,-52801850
1875,675799100,-9753600
1876,685552700,-13545800
1877,699098500,-5280700
1878,704379200,-50488000
1879,754867200,-98837440
1880,853704640,-28700420
1881,882405060,-49516840
1882,931921900,-59110500
1883,991032400,-11141900
1884,1002174300,-7497060
1885,1009671360,-15804100
1886,1025475460,-51282340
1887,1076757800,-115514100
1888,1192271900,472300
1889,1191799600,-106658600
1890,1298458200,-60415700
1891,1358873900,-11214400
1892,1370088300,16419600
1893,1353668700,-47189000
1894,1400857700,-84414900
1895,1485272600,-48428800
1896,1533701400,-72599100
1897,1606300500,-87965200
1898,1694265700,-156532400
1899,1850798100,-101411400
1900,1952209500,-64534900
1901,2016744400,-50939700
1902,2067684100,-186410700
1903,2254094800,-25654100
1904,2279748900,-147564300
1905,2427313200,-107421100
1906,2534734300,-353573700
1907,2888308000,111903800
1908,2776404200,-114063800
1909,2890468000,-143352000
1910,3033820000,-45394800
1911,3079214800,-156323600
1912,3235538400,-270326800
1913,3505865200,325952800
1914,3179912400,45534200
1915,3134378200,-250899200
1916,3385277400,-154575100
1917,3539852500,47012500
1918,3492840000,464280000
1919,3028560000,-492502400
1920,3521062400,431598100
1921,3089464300,-150271500
1922,3239735800,-435662200
1923,3675398000,-10701200
1924,3686099200,-39537400
1925,3725636600,66339600
1926,3659297000,-334456900
1927,3993753900,17682700
1928,3976071200,-291586000
1929,4267657200,332927200
1930,3934730000,417789500
1931,3516940500,346139900
1932,3170800600,-167548700
1933,3338349300,-292416000
1934,3630765300,-180346700
1935,3811112000,-369976300
1936,4181088300,-288281000
1937,4469369300,268089600
1938,4201279700,-244163300
1939,4445443000,-409214500
1940,4854657500,-110991500
1941,4965649000,12025400
1942,4953623600,-81453400
1943,5035077000,-75579000
1944,5110656000,860392000
1945,4250264000,-388075000
1946,4638339000,-500151000
1947,5138490000,-277219700
1948,5415709700,169860700
1949,5245849000,-757423000
1950,6003272000,-376524500
1951,6379796500,-85930500
1952,6465727000,-182036000
1953,6647763000,-142206000
1954,6789969000,-653275000
1955,7443244000,-481009000
1956,7924253000,-261294000
1957,8185547000,-232077000
1958,8417624000,-438597000
1959,8856221000,-531447000
1960,9387668000,-30792000
1961,9418460000,-332599000
1962,9751059000,-520596000
1963,10271655000,-557957000
1964,10829612000,-487984000
1965,11317596000,-549337000
1966,11866933000,-377096000
1967,12244029000,-666863000
1968,12910892000,-856506000
1969,13767398000,-1131318000
1970,14898716000,-606780000
1971,15505496000,-723234000
1972,16228730000,-857464000
1973,17086194000,68718000
1974,17017476000,-37151000
1975,17054627000,-937260000
1976,17991887000,-510959000
1977,18502846000,-574348000
1978,19077194000,-541270000
1979,19618464000,117201000
1980,19501263000,465146000
1981,19036117000,151630000
1982,18884487000,-122053000
1983,19006540000,-658215000
1984,19664755000,-660732000
1985,20325487000,-301873000
1986,20627360000,-646545000
1987,21273905000,-833890000
1988,22107795000,-302607000
1989,22410402000,-347078000
1990,22757480000,-487326000
1991,23244806000,664783000
1992,22580023000,-232878000
1993,22812901000,-156597000
1994,22969498000,-489216000
1995,23458714000,-700670000
1996,24159384000,-143200000
1997,24302584000,89324000
1998,24213260000,-519130000
1999,24732390000,-721233000
2000,25453623000,-214426000
2001,25668049000,-612989000
2002,26281038000,-1370558000
2003,27651596000,-985099000
2004,28636695000,-977907000
2005,29614602000,-978516000
2006,30593118000,-913670000
2007,31506788000,-579048000
2008,32085836000,521804000
2009,31564032000,-1800315000
2010,33364347000,-1122666000
2011,34487013000,-519257000
2012,35006270000,-312930000
2013,35319200000,-258337000
2014,35577537000,18969000
2015,35558568000,34378000
2016,35524190000,-572547000
2017,36096737000,-729773000
2018,36826510000,-256050000
2019,37082560000,1818474000
2020,35264086000,35264086000